"Academic.Reputation.Score","Citations.per.Faculty.Score","Employer.Reputation.Score","Employment.Outcomes.Score","Faculty.Student.Score","International.Faculty.Score","International.Research.Network.Score","International.Students.Score","Sustainability.Score"
"373",15.2,44.2,33.4,14.1,10.4,96.6,9.4,58.4,31
"374",60.1,8.3,17,36.8,15.4,7.9,51.7,1.6,23
"375",10.8,65.1,3.5,12.3,14.1,97.5,9.1,98,12
"376",18.4,29.5,15,10.3,4.5,100,68.3,39.2,90.4
"377",4.1,99.8,33.4,10.3,5.1,15.9,9.5,2.8,16.5
"378",19.4,24.2,9.5,35.4,19.1,60.2,33.2,94.3,87.3
"379",21.2,59.7,11,14.7,2.3,61.1,62.3,29.6,18
"380",18.1,42.9,5.3,47.7,56.2,25.2,18.9,36.2,50.9
"381",13.3,42.6,6.7,10.5,6.5,97,38.9,89.5,64.8
"383",42.4,4.7,30.3,11,77.7,6,10.3,5.1,27.6
"384",19.4,57.6,3.4,10.7,8.9,23.9,99.8,32.3,38.7
"385",21.1,73.9,8.6,18.9,29.5,11.2,8.1,3.5,22.5
"386",31.5,12.5,24.6,26.1,55.3,30.3,59.1,4.9,27.6
"387",16.1,48.6,8.5,10.7,36.8,53,53.7,12.9,47.5
"388",36.1,26.5,4.5,11.3,8.3,18.5,99.4,19.9,64.5
"389",26.6,1.3,42.5,24.5,95.3,4.1,3.4,49.9,1.4
"390",15,23.7,15.2,30.2,3,80.3,40.4,89.3,88.8
"391",27.1,27,37.8,18.5,43.6,17.5,1.9,31.1,26.6
"392",21,8.2,5.5,27.4,96.3,100,2.3,65.1,4
"393",7.8,50.8,29.4,12.8,37.1,29.4,18.8,69.3,20.5
"394",12.5,95.4,4.2,21.9,19,10.4,9.7,4.5,10.2
"395",25.4,25.4,27.8,30.7,43.9,64.8,12.8,4.6,26.1
"396",25.9,65.3,11.6,21.5,20,5.4,25.4,3.4,17.1
"397",13.6,85.7,6.1,9.5,1.7,12.1,63.8,18.9,11.1
"398",22.7,2.8,7.6,11.2,93.7,10.5,61.7,96.1,24.4
"399",18.9,31.8,7.6,18.5,30.4,45.2,34.4,51,88.8
"400",27.3,1.9,31.9,13.4,90.7,6.3,71.1,16.1,5.1
"401",20,58.7,13.5,27.2,8.4,4.6,50.9,11.1,51.8
"402",23.2,15.2,32.2,14.6,10.4,31,56.2,68.7,69.9
"403",28,24.2,20.2,18.8,19.6,24,63.5,47,40.2
"404",44,23.3,9.8,5.1,5.6,3.4,96.8,16.1,36.1
"405",24.2,13.3,60.4,23,12.1,7.3,37.2,18.3,63.1
"406",17.5,59.9,7,10,6.7,63,45.1,9.1,46.6
"407",34.4,1.9,58.9,35.3,38,1.6,9.3,1.1,38.7
"408",19.3,18.5,11.7,19.3,10.3,100,12,99.3,71.5
"409",36.1,22.5,28.2,91.4,3.9,1.4,24.7,1.7,31
"410",18.8,20.3,18.2,15,56.8,12.3,54.9,4.2,97.7
"411",43.3,4,72.9,4,8.7,6.6,7.3,2.2,12.9
"412",15.1,9,13.3,23.5,83.6,72.6,35.7,7.8,71.8
"413",8.5,59.6,6.8,12,4.5,76.1,60.6,26.3,51.2
"414",28.9,8.4,29.7,18.4,13.8,68.8,27.1,70.3,34.3
"415",16,36.3,5.7,11.1,13.7,94.4,23.7,88.7,38.1
"416",15.4,51.1,8.7,9,14.1,42,42.5,13.5,83.3
"417",19.8,16,19.9,15.7,96,31.4,5.4,53.1,1.2
"418",30.3,4.6,23.8,63.3,42.8,97.9,1.4,3.9,16.3
"419",23.1,5.1,10.9,7.3,99.4,23.7,23.4,91.5,3
"420",39.3,16.2,34.6,5.7,15,6.2,34.5,2.8,53.7
"421",24.4,35.4,17.9,11.1,16.2,50,46.5,5.5,49.7
"422",14.5,13.6,11,13.6,99.5,75,10.4,58.8,4.2
"423",27.5,12.6,14.4,12.9,93.5,6.7,5.3,56.3,6.8
"424",18.1,27.2,16.3,16.2,12.9,50.7,79.3,48.5,47.8
"425",39.6,23.1,7.9,10.9,5.3,35.6,70.2,38.6,14.9
"426",13.7,51.7,7.3,9.8,2.3,87,8.9,58.9,55.2
"427",17.5,21.9,29.1,13.9,14,88.4,34.6,28.6,58.9
"429",7,2.6,40.9,39.4,56.2,94.6,1,100,6
"431",24.6,44,8.9,9.3,19.3,26.9,61,6.2,34.9
"432",22.4,28.6,47.3,11,24,27.3,6.4,11.2,29.9
"433",7.3,53.1,5.3,14.2,5.4,86.3,40.1,76.6,23.7
"434",15,34.3,57.7,17.3,27,21.1,1.3,18.2,12.6
"435",34.5,5.9,20.8,14.7,65.4,14.5,1.5,26.7,43.2
"436",11.5,34.7,10.2,14.8,10.5,71.9,14.4,83.5,79.8
"437",19.7,12.4,27,24.8,25.6,76,19.3,19.3,81.7
"438",13.8,65.5,17.3,5.7,14.7,24.6,29.2,26.7,8.7
"439",22.5,31.8,19.5,20.6,23.9,32,56.4,6.4,37.2
"440",12.6,97.3,3,6.2,10.7,3.3,9.2,3,3.3
"441",9,22.8,27.6,94.8,6.2,100,1,83.1,1.6
"442",17.4,68,6,9.5,4.9,35.5,41.9,16.4,11.7
"443",18.3,14.2,13.6,10.5,37.5,96,27.4,79.9,21.8
"444",19.9,25.1,11,24.4,25.6,67.4,55.4,36.3,31
"445",15.9,36.5,6,14.9,53,25.3,54.4,10.1,49
"446",26.3,29.1,31.6,28.9,2,9.9,72.8,16.2,16.1
"447",15.1,41.6,6.9,21.7,14.5,47,61.4,19,61.9
"448",12.9,34.1,22.8,18.1,10,93,50.5,38.3,12.3
"449",12.5,16.1,13.5,11.1,82.9,86.3,26.5,27.2,18.4
"450",10.3,72.5,15.4,11.9,10.8,4.2,45.2,2.5,30.7
"452",17.2,15.3,12.5,11.4,86.2,40.9,54.7,2.8,30.2
"454",8.8,98.4,3.4,9.9,5.6,6.6,13.5,3.6,8.9
"455",18.9,55.3,4.1,8.8,8.2,7.9,90.8,13.2,26.6
"456",21.5,4.1,37.6,13.8,75.8,25.6,15.3,39.2,1.6
"457",5.6,94.4,4.3,8.4,33.3,2.3,1.2,1.1,2
"458",12.8,73.1,7.4,8.8,23.9,15.1,21.1,3.5,16.9
"459",16.7,18.4,13.7,17.4,56.7,100,48.3,3.4,8
"460",16.1,45.1,48.6,23.8,2.1,29.1,2,20.9,2.5
"461",16.4,25.6,5.1,13.4,13,99.8,40.1,99,9.6
"462",16,38.6,3.1,7.2,16.4,51,86.3,21.8,42.6
"463",25.1,30.7,25.7,20.5,6.8,15.6,40.1,3.9,54.3
"464",10.2,10.9,10.1,18,99,54.1,2,90.7,1.2
"466",22.6,14.8,12.7,10.4,54.5,38.5,70.2,16.2,19
"467",7.2,70.8,9.6,17.4,19.7,29.6,2.3,9,42
"468",19.7,14.9,13.9,12.7,68.3,23.8,44.8,9.6,47.8
"469",30.2,21.4,5.3,11.9,14.4,25.6,91.2,19.5,35.8
"470",16.7,13.5,18.8,14.1,5.5,100,35.9,99.7,24.6
"471",14.6,52.7,14.2,10.5,11.7,65.3,20.1,15.7,18.2
"472",14.2,48.5,15.6,13.6,13,30.1,1.5,94.1,2.5
"473",21.2,51,5.8,13.2,7.5,6.1,53.1,13.2,44.4
"474",23.6,9.6,14,9.8,81,17.3,30,12.9,37.5
"475",13.1,68.7,5.5,13.1,36.1,7.5,7,4.9,15.2
"476",21.3,2.1,13.3,7.4,93.2,5.7,63.3,25.8,24.8
"477",19.8,3,27.8,25.5,83,13,43.5,14.9,11.7
"478",28.5,11.6,38.8,11.9,53.2,7.4,8.7,7.7,10.9
"479",26.2,19.6,12,8.1,47,4.3,56.8,23.9,28.1
"480",20.4,21.2,6.9,15.6,33.7,79.8,24.1,14.2,55.8
"482",4.6,85.1,4.8,9.6,6.5,61.1,2.1,12.3,1.6
"483",8.8,39.7,5.3,13,14.9,42.2,24.6,55.4,87.4
"484",14.4,2.2,80.6,38.4,28.6,21.6,1,22.4,1.1
"485",21.3,14.8,33.2,13.1,16.8,40.5,44.3,30.6,29.9
"486",23.3,1.2,36,10.5,84.3,40.5,1,4.2,1.3
"487",20.6,57.1,9.6,13.2,2.9,3.3,45.2,4.6,29.4
"488",33.9,22.4,7.3,6.6,10.9,2.3,83.4,16.6,31.6
"489",4.3,96.4,3,7.6,8.6,3.4,21.7,2.6,3.5
"490",13.5,47.5,20.9,13.1,5.8,43.5,22.3,15.1,36.3
"491",21.6,1.7,39,24.1,66.1,54.6,1.2,3.8,3.4
"492",31.5,38.1,12.6,7.8,7.6,7.1,32.8,16.2,15.2
"493",9.1,79.8,3.2,13.7,16.8,12.2,16.3,3.2,8.7
"494",18,37.2,8.3,24.6,7.8,42.8,23.3,33.3,50.6
"495",19.9,20.9,11.2,22.1,48.2,22.3,51.3,4.6,38.4
"496",19.8,8.9,36.2,12.8,69.5,13.8,1.7,36.3,2.5
"497",8.6,82,8.4,18.7,13.8,4.9,3.8,1.9,7
"498",8.3,70.7,7,24.1,19.5,4,1.6,44.3,2.7
"499",38.8,8.5,10.4,8,16.7,3.6,82,16,29.1
"500",26.7,7.7,23,15.3,77.4,7.8,1.6,19.8,6.9
"501",8.4,12.1,13,11.6,11.9,100,38.5,90.5,63.7
"502",10.3,59.1,7.9,19.8,6.9,36.3,28.2,13.7,31.8
"503",29.1,3.3,38.8,29.8,17.4,20.6,13.8,34.1,28.9
"504",22.2,12.9,44.9,14.3,17.2,72,4.1,5.7,14.2
"505",14.3,23.6,47.1,18.3,39.3,12.4,17.9,2.2,13.7
"506",8.4,18.7,9.6,12.6,8.7,75.1,44.8,87.3,73.1
"507",4.2,47.8,4.2,20.9,4.5,100,2.4,100,1.1
"508",26.5,25.2,24.4,12.1,29.5,23.8,2.5,10.3,20.9
"509",15.7,41.1,4.6,14.1,18.9,17,58.2,9.6,53.1
"510",23.5,13.4,31.4,26,35,10.4,9,12.7,44.4
"511",21.5,5.5,49.1,16.5,55.7,7.2,1,24.3,1.4
"512",10.3,27,19.3,12.1,46.4,50.1,40.2,21.9,15.4
"513",15.2,53.1,3.7,11.7,19.1,23.3,31,19.6,19.7
"514",18.1,15.2,9.5,19.6,18.3,100,1,99,3.8
"515",18.4,24.8,3.4,7.4,40.4,5.5,98.2,23.5,21.8
"516",23,14.3,58.4,52.7,4,11.1,4.9,2.6,6.2
"517",10.7,33.6,26.3,10.9,3.8,37,63.7,1.2,57.4
"518",20.4,1.1,32.3,19.8,99.9,1.9,1,8.8,1
"519",22.2,25.4,9,11.1,53.3,43.8,11.5,5.9,15.8
"520",20.9,29.7,18.2,17.7,9.7,9.7,59.1,4.5,46.6
"521",19.7,24.4,8.4,7.2,16.3,41.7,77.7,26.7,28.1
"522",11.1,17.2,18,43.1,64.5,9.8,7.7,20.1,54.6
"523",19.4,1.8,52.5,9.4,75.4,2.4,1,8.5,1.2
"524",13.3,54.5,11.6,8.4,3.8,5.4,23.8,35.5,41.1
"525",22.9,7.1,4.5,8,57.6,4.1,55.3,9.7,80.6
"526",8.5,25.4,3.5,16.8,13,57.4,36.4,67.4,85.2
"527",13.7,8.6,3.9,34.2,90.3,100,1,5.5,1
"528",11.8,1.4,21.3,47.6,100,12.7,1,46.2,1
"529",18.1,19.2,37.5,11.2,34.5,37,1.8,15,15.4
"531",8.7,41,8.1,12,6.2,77.5,18.7,72.6,11.7
"532",28.7,13.5,25.9,15.7,3.8,1.4,75.4,4,36.6
"534",9.3,1.1,17.8,9.6,90.5,40.4,1,96.6,1
"535",17.4,40.6,3.8,12.7,11.3,4.8,54.3,8.8,61.9
"536",9.6,78.7,2.1,6.5,19.9,3.4,3.3,1.6,8.4
"537",16.7,3,9,4.3,77.6,15,21.9,87.6,18.2
"538",15.1,67.9,14.3,8.9,3,1.7,13.4,3.8,3.5
"539",26.8,6.9,15,15.3,23.2,6.7,45.3,22.4,72.5
"540",10,5.2,4.7,9.4,68.8,20,37.9,66.3,74.3
"541",20.6,7.1,28,9.7,40.4,18.8,3.4,79.8,10.6
"542",15.7,6,72,22.2,35.1,7.3,1.1,1.9,1.4
"543",38.7,2.1,31,8.6,23.8,3.6,9.1,29.9,5.1
"544",12,6.9,11.6,7.3,96.2,21.4,27.3,38.9,15
"545",7.6,33.7,3.9,7.2,78.3,41.1,14.5,21.1,3.2
"547",8,62.2,5.3,15.2,7.8,47.9,10.2,2.9,28.4
"548",22.7,5.8,34.1,19.3,9.4,6.6,89,4.9,31.3
"549",11.8,20.9,15.3,25,10.5,100,1.2,63.3,21.4
"550",5.8,38.4,4.2,28.3,26.2,62.4,9.1,29.6,47.5
"551",10.5,16,15.9,16,10.7,67.2,49.8,72.3,29.1
"552",14.8,24.6,9.7,8.1,39.4,30.9,62.4,4.8,28.4
"553",13.6,2.2,34.7,13.3,8.2,100,2,100,3
"554",14.7,2.3,14.4,22.3,31.3,100,1,100,1
"555",5.8,18.3,3.4,10.2,78.8,76,27.2,23.9,15.9
"556",10.8,33.7,5.9,12.2,18.8,30.4,42.6,8.2,79.1
"557",28.9,2.8,47.6,8.7,15.8,1.9,24.3,2.1,31
"558",14.9,12.8,35.4,14.2,12,21.1,68.1,12.1,39
"559",5,1.7,14.8,9.1,84.3,75.2,1,88.4,1
"560",6.5,79.3,4.6,5.5,15.6,5,4.1,7.9,1.1
"561",23.7,8,40.4,62.4,17.2,7,1.5,5.3,18.2
"562",6.1,12.9,7.9,10.1,99,27.8,3.2,71.9,1.3
"563",8.4,70.4,3.8,13.6,13.2,14.7,11.4,2.2,10.3
"564",9,29.1,12.1,11.2,12.2,51.3,45.4,38.9,45
"565",19.7,1.7,57.9,54.6,29,3.3,1.1,2.7,1.7
"566",10.7,38.8,3.8,20.4,5.3,100,8.9,45.4,5.2
"567",13.2,36.6,10.2,10.6,7.9,30.7,57.8,13.8,34.9
"568",4.7,22.8,5.2,11.7,44.1,87.7,1.1,93.6,1.1
"569",19.5,2.7,39,81,19.7,27.1,1,23.5,1.9
"570",19.1,4.4,73.5,13.7,4.2,37.7,1.2,4.2,1.1
"571",12.5,20.9,15,9,6.7,65.1,41.2,79.4,7.3
"572",33.8,3.9,19.3,17.1,16.4,5.1,20.9,4.1,59.2
"573",9.2,6.8,12.5,13.7,15.7,74.8,50.7,100,26.6
"574",4.4,88.7,3.6,8.2,3.9,1.4,1.5,1.1,4
"575",22.8,4.3,49.8,11.5,38.7,1.8,9.7,10.3,2.1
"576",13.4,1.6,23.9,5.7,85.3,32.3,1,45.1,1.3
"577",14.7,33.6,11.8,17.1,8.9,37.8,40.8,3.5,39.6
"578",23.7,2.1,49.8,9.9,11.6,43.3,2.3,31.9,2.1
"579",10.3,17.9,15.4,9.9,91.1,15.1,1.3,15.6,9
"580",12.1,8.9,3.7,9.6,70.5,70.4,42.5,7.7,21.8
"581",11.5,12.4,17.9,11.3,12.6,100,1.2,99.9,1.1
"582",5.5,11.4,4.3,12,60.2,95.2,3,86.6,1.6
"585",8.1,2.3,65.9,45.5,39.9,19.3,1,5.8,2
"586",9.7,4,7.5,8.1,93.9,8.1,21.3,76.6,8.3
"587",10.5,7.2,44.1,9.2,52.2,35.5,4.4,24.3,5.4
"588",14.2,17.4,9.6,24.2,40.2,56.4,23.9,3.3,35.5
"589",8.7,16,9.5,8.3,24,98,1.2,98.1,5.6
"590",12,9.8,13.4,14.6,8.5,44.4,66.6,40.5,69.3
"591",15.4,20.3,19.1,9.4,20.8,100,1.1,20.5,1
"592",14.9,13.6,6,17.2,14.7,97.8,1.2,92.8,1.8
"593",14.4,25.7,37.1,11.1,2.8,17.1,32.1,4.5,32.7
"594",7.6,2.3,7.1,8.1,85.9,98.5,11.6,16.5,19
"595",10.6,5.2,20.5,13.8,10.2,56.9,52.1,61,50.6
"596",33.4,7.7,24.5,28.6,9.3,12.4,2.4,1.6,32.7
"597",8.4,42.6,2.3,17.6,55.2,13.2,14.3,1.4,15.8
"598",3.1,39,1.7,7.6,98.8,8.3,3.6,3.1,1
"600",23.8,2.1,26.4,72.5,25.1,11.6,2,1.7,29.4
"601",9.6,10.4,5,22.7,81.5,16.9,45.5,14.5,21.4
"602",11.1,8.3,4.5,20.1,89.9,4.9,39,39.2,2
"603",8.3,40.7,6.2,11.5,23.6,45.2,29.5,15.5,11.8
"604",9.8,1.9,16.8,37.3,20.4,100,1,100,1
"605",5.8,41.3,4.7,8.5,4,37.4,3.6,76.7,45.3
"606",8.4,35.1,6.1,26,21.1,32.8,28.4,22.3,34.6
"608",17.5,8.7,12.6,14.1,6.1,71.9,9.2,99.4,9.8
"609",18.3,2,9.4,8.2,56.9,100,4.5,17.6,3.1
"610",27,7.4,35.6,9.5,13.1,13.1,16.3,2.2,31.6
"611",18,4.9,12,9.1,44.6,11.9,34.6,50.5,34.9
"612",17.4,4.2,11,11.4,11.9,100,1.4,100,1
"613",15.2,1,21.5,11.2,92,13.3,1,21.3,1
"614",13.1,6.7,34.7,14.2,22.7,9,38.6,70.9,2.7
"616",21.5,17.8,27.1,6.5,23,12.9,2.1,9.1,30.2
"617",23,17.1,18.5,13.3,38,10.4,7.9,12.4,8.1
"618",11.5,18.2,5.8,8,100,3.5,1.2,15.3,1.1
"619",15.6,18.7,8.7,10.2,32.8,19.4,52.7,18,27.6
"620",6.4,1.5,8.6,9.4,57.8,89.8,1,100,1
"621",5.7,43,4.6,7.9,70,4.3,1.4,4.7,4.1
"622",15.3,1.7,41,14.5,36.9,43.1,1,5.2,26.3
"623",12.4,1.6,12.2,10.1,33.5,90.5,1,94.1,1
"624",5.9,53.6,2.5,10.1,46,13.9,6.1,4.8,3.2
"625",2.7,52.4,2.9,12.2,4.7,37.5,1.2,91.4,1.1
"626",10.4,8.5,43.7,15.6,6.3,94.7,2.4,32.2,1.4
"627",12.9,22.8,11.8,28,6.5,25.1,78.1,1.9,37.8
"628",20,6.3,9.5,48.9,35.6,4.5,59.3,10.7,17.2
"629",19.4,17.4,6.4,7,34.7,2.5,73.6,3.8,21.2
"631",15.5,17.4,15.4,8.3,65.1,6.2,1.1,13.7,5
"632",20.5,21.5,12.9,38.4,19.3,12,9.1,18.3,15.9
"633",5.6,42.9,2.1,7.3,9.4,36.7,9.6,85.2,5
"634",15,8.6,17.9,9.5,29.6,33.3,54,19.5,23.7
"635",15.2,3.8,68.4,8.7,8.1,24.7,2,10.2,2.2
"636",9.2,2.5,27.6,13,46.8,90.8,1,19.7,9.7
"638",25.3,14.6,4.2,7,4.4,16.8,86.3,17.6,17.2
"639",11.6,16.4,13.9,9.3,38.3,15.7,57.5,4,33.8
"640",10.6,1.8,3.5,8.2,94.9,14.1,5.1,66.1,1.2
"641",5,47.6,1.5,8,11,74.8,11.1,26.3,1.9
"642",17.4,1.1,13.1,11.8,79.8,20.2,1,24.3,1.1
"643",9.3,16.3,5.5,8,14.6,100,1.1,95,1.1
"644",7,28.5,4.6,11.8,11,25.3,36.5,71.9,31
"645",3.9,27.5,6.1,9.9,14,84.5,1.9,69.9,20.5
"647",15.9,2.8,14.9,24.7,44.3,6,1.2,91.7,1.1
"648",19.5,1.6,17.3,35.3,72.9,1.9,1.2,4,1.2
"649",8.7,18.1,7.3,21.6,8.2,63.8,20.1,93.2,3.4
"650",13.9,34,10.9,29.2,4.5,8.5,34,9.3,27.8
"651",8.7,50.3,3.2,13.9,2.3,3.9,21.4,3.8,57.4
"652",9.6,34.3,10.6,17.2,16.3,34.5,17.9,5.1,33.5
"653",3.6,33.1,4.8,20.4,2.3,87.6,6.1,75.1,6.4
"654",10.4,13.9,29.2,8.1,14.4,1.6,62.6,1.6,50.9
"655",15.5,1.8,35.1,64.9,11.7,65.6,1,1.5,1.2
"656",4.7,38.6,3.4,6.9,3.2,71.2,9.3,66.2,11
"657",12.9,9.6,11.4,32,27.6,49.5,48.5,25,3.5
"659",13.1,30.1,7.4,14.1,19.6,14.2,13.5,3.9,51.8
"660",9.8,39.4,5.3,8.8,10,26.4,36.3,24.2,15
"661",9.5,23.5,6.4,10.5,19.5,46.1,27.1,49.5,9.6
"662",9.8,16.3,4.3,17.4,49.9,26.2,1.4,70.6,1.5
"663",18.8,14.2,14.8,10.8,4.9,35.1,15.5,8.2,62.8
"664",6,2,12,9.5,60.6,99,1,38.3,2.6
"665",21.3,10.9,9.5,18.3,12.3,46.9,15.2,28.4,19.2
"666",10.5,3.2,28.2,10.4,35.5,78.9,1,26.4,7.8
"667",5.6,14.3,4.8,15.8,8.3,85.1,20.6,99.6,8.6
"668",20.2,11.8,24.1,20.4,27.6,7.9,2.2,5.6,20.1
"669",16.6,1.9,16.5,8.2,19.4,92.5,6.3,47.7,2.5
"670",11,11.7,54.8,29.8,10.6,13.3,1.2,3.8,7
"671",8.7,1.2,22,49.4,81.5,10.5,1.2,2.5,1
"672",9.3,42.4,2.3,6,3.6,6.9,27.3,5.9,66
"673",16.8,1.4,34,22,36.6,24,1.2,1.7,24.8
"674",6.7,37.4,2,7.5,16.6,7.6,38.6,22.5,47.2
"675",17.7,3.3,18,12.7,17.8,100,1.3,25,1.1
"676",10.9,21.8,13.9,28.5,3.1,21.6,16.8,46,35.8
"677",10.4,8.5,11.5,4.9,88.5,8.5,2.8,23.4,1.6
"678",17.3,3.7,10.3,16.9,30.4,10.6,39.6,68,3.5
"679",4.5,10.6,4.2,12.8,4.6,91.9,41.1,100,12.7
"681",23.2,1.2,17,12.1,47.8,38,1,2.8,1
"682",15.6,1.6,3.1,7.7,100,9.1,1,18,1
"683",21,4.2,45.1,35.6,10.5,2,1.3,2.7,5.6
"684",7.5,61.4,2.6,11.7,13,2.7,2.8,1.8,3.6
"685",9.4,8,2.3,12,13,95.1,13.3,97.5,6.3
"686",27.3,6.6,39.6,8.7,4.9,10.4,5.3,1.6,1.8
"687",5.7,54.9,10.4,13.4,5.1,1.2,6.4,1.8,27.6
"688",6.2,58.5,2.3,11.1,16.8,6.7,10.4,2.7,3.8
"689",19.2,2.3,38.6,28,33.4,1.5,2.9,5.1,1.9
"690",6.5,14.7,8,9.8,75.5,7.9,3.6,49.9,1.1
"691",10.9,26.1,11.5,13.6,18.9,20.9,40.6,3.7,24.1
"692",5.1,64.3,2.7,8.2,16.6,1.2,1,1.1,2.6
"693",10.9,11.7,15.3,12.4,72.9,8.8,1.4,14.4,3
"694",19.1,1.3,31.1,51.4,31.6,5.5,1,2.4,7.4
"695",32.7,7.6,5.7,25.6,12.4,7.1,24.7,1.8,13.7
"696",28.6,10.1,3.8,9.5,10.9,2.2,36,1.6,46.3
"697",12.3,25.8,7.6,20,21,6,32.1,10.8,31.3
"698",21.3,2.6,44.9,30.3,11.7,1.7,2.1,1,11.6
"699",6.7,40.3,13,11.3,3.1,35.9,5.2,43.6,1.8
"700",11.9,45.5,3.6,12.9,4,6.4,37.6,7.6,4
"701",12.6,1.4,17.9,9.9,66,3.1,1.6,58.8,1.1
"702",10,1.4,3.7,7.6,84.4,6.7,1,69.9,6.1
"703",16.8,10.9,8.4,8.6,62.3,7.5,2.5,5.2,18.8
"704",11,9.5,8.8,9.4,9.2,26.6,54.7,64.5,35.8
"705",23.9,7.8,16.8,30.8,13.2,5,31.1,11.3,10.2
"706",31,4.3,33.9,9.6,4.2,3.9,3.9,1.3,5.2
"707",23.5,16.1,10.3,8.1,13,2.8,38,6,23.2
"708",5.4,11,6.1,16.5,100,5.4,5.5,13.5,2.3
"709",14.5,6.3,17.3,17,22,100,8.3,2,2.8
"710",13.4,2.7,18.8,18.2,16.5,80.1,1.1,51.3,1.1
"711",3.8,64.8,1.5,17.1,9.8,1.5,1.2,3.2,2.5
"712",22.8,2.9,17.2,7.2,14.2,24,12.2,60.2,3
"713",26.4,4.2,19.1,34.7,3,6.4,36.1,15.7,3.4
"714",7.8,30.4,11.3,7.2,55.1,1.2,3,3.3,4.9
"715",14.4,2.7,43.4,27.5,21,9.5,1.1,2.4,22.5
"716",15.8,25,4,7.4,12.2,12.6,57.3,12.1,13.4
"717",10.6,18.1,13.1,10.8,13.4,59.4,6.2,15.9,38.7
"718",4.6,24.9,6.9,14.4,23,63.8,5.9,24.8,32.7
"719",12.9,6,6.7,16.3,5.9,78.4,1.9,100,1.9
"720",7.6,34.6,6.5,12.3,2.4,34.1,15,57.6,4.1
"721",22.4,1.9,25.4,30.2,10.2,25,22.2,5.6,7
"723",16.7,9.7,10.7,5.1,65.8,8.2,2.9,7.4,3.1
"724",12.5,18.8,7.9,18.3,26.4,3.4,48.1,5.7,23
"725",4.2,34.6,10.2,11.8,5.1,18.4,84.9,1.6,6.8
"726",6,49.1,2.8,6.9,11,3.9,40.9,4.8,6.5
"727",15.8,21.8,3,7.8,5.2,32.8,42.6,39.7,5.6
"728",13.7,11.4,3.6,10.2,6.4,28.9,93.1,28.4,17.2
"729",17.8,5.3,5.2,56.7,4.3,2.9,95.4,4.3,16.1
"730",8.4,4.9,6.3,8.4,100,3.6,2.3,9,15.2
"731",17.7,24,8.6,18.3,11.2,12.5,8.9,4.5,30.7
"732",15.8,5,8.7,12.6,29.7,7,59.5,7,38.4
"733",3.9,10.7,3.2,9.2,23.9,100,1.1,89.4,1.2
"734",5.7,17.4,8.3,10,6.1,81.2,23.3,50.1,18.4
"735",3.8,63.3,3.4,8.2,12,1.6,1,1,1
"736",18.5,4.7,24.5,9.8,16.4,13.9,9.9,31.6,22
"737",16.1,1.5,33.7,18.9,47,1.1,1.4,2.5,1.4
"738",13.1,2.3,61.5,35.1,4.5,4.6,1,1.6,1.1
"739",11.4,6.3,4.3,4.7,97,5,7.2,1.5,4.5
"740",12.5,33.2,2.6,8.3,8.6,2.1,16,15.1,49.4
"741",14.3,8.9,19.4,25,15.2,2.5,25.4,18.8,40.8
"742",20.4,2.1,40.2,9.8,8.7,2.6,6.9,1.1,33.5
"744",14.4,2.1,16.3,27.3,54.1,3.1,12.9,8.4,16.7
"747",5.8,49.5,11.9,5.7,1.6,3.2,19.1,1.1,21.6
"748",12.8,27.8,2.9,6.8,4.2,5,64.5,2.2,37.5
"749",14.2,9.8,52.3,14.6,5.3,2.9,5.2,1.3,4.9
"750",9.2,10.8,9.4,8.9,8.4,48.4,24.8,75.8,21.6
"751",12.8,3,8,8.3,31.7,100,1,31,1
"753",24.3,2.5,21.8,19.3,6.2,4.8,5.2,1.3,51.5
"754",9.9,14.5,6.8,10.4,8.4,48.1,56.2,24.4,24.4
"755",11.4,2.9,28.2,18.5,19.7,16.4,1.4,59.9,15.2
"757",14,1.1,43.7,18.8,31.2,11.3,1,1.6,1
"758",17.3,16.3,11.8,14.8,1.6,37.1,19.7,11.6,27.3
"759",8.1,25,25,70.5,2.4,2,1.1,3.5,10.5
"760",6.9,34.3,2.5,6.9,57.8,2.5,1.8,3.4,1.3
"761",16.2,4.2,4.7,44.8,23.8,1.5,74.2,2.7,19.2
"762",7.8,12.3,3.2,15.4,64.7,12.5,41.9,4.8,6.4
"763",20.4,6,22.7,13.8,10.1,3.2,27,3.4,31.6
"764",12.8,2.2,5.1,7.8,43,100,7.8,10.2,1.1
"765",14,31.1,7.5,9.1,5.5,16.8,16.2,22.6,6.1
"768",7.3,14.6,13.8,10.4,49.1,5.7,3,50.2,1.8
"769",6.7,13.7,16.5,12.4,43.1,15.9,39.2,3.2,12
"770",11.5,1.3,43.4,8.1,21.1,34.1,1.1,15.1,2.8
"771",14.1,3.4,5.2,32.8,55.8,4.1,13,30.5,4.1
"772",11.1,19.3,5.2,28.6,15.5,26.3,2.2,46.8,15.4
"773",5.8,3.4,4.4,4.7,59.7,9.6,46.5,66,1.1
"774",8.3,42.4,12.6,8,7.3,24.2,2.1,1.7,1
"775",13.4,1.1,24.1,49.5,45.6,6.7,1,3.7,1.2
"776",11.8,1.2,11.8,13,82.6,17.9,1,1.9,1
"777",11.5,11.8,5.2,11.5,11.4,36.4,54.9,42.2,9.2
"778",10.3,23.6,2.7,6.7,7.1,17.1,77.3,13.9,15.6
