"Academic.Reputation.Score","Citations.per.Faculty.Score","Employer.Reputation.Score","Employment.Outcomes.Score","Faculty.Student.Score","International.Faculty.Score","International.Research.Network.Score","International.Students.Score","Sustainability.Score"
"87",81.2,4.6,78.3,82.2,99.8,20.3,85.2,92.3,13.4
"88",78.3,38.2,52,19.8,99.7,52.5,89.7,50.4,42.6
"89",54.2,87.1,36.5,38.4,16.2,100,78.8,99.6,96.3
"90",43.4,95.3,57.8,30.1,9,96.6,79.7,93.6,93.1
"91",74.4,53,94.8,19.7,84.4,31.8,8.9,31.7,18
"92",59.1,52,27.6,75.2,89.9,100,87.2,53,80.2
"93",61.7,60.1,68.3,68.6,32.7,21.6,72.6,87.5,85.9
"94",96.6,2.7,98.2,68.4,39.8,8.3,84.5,2.5,88.5
"95",93.3,1.7,98,26.2,73.5,62.6,28.1,66.7,18.8
"96",47.3,57.7,67.2,22.4,64.9,98.7,51.1,100,92.1
"97",67.4,67.1,85.1,41.7,15.3,38.8,33.2,65.4,70.4
"98",80.8,71.4,51,21.9,4.4,62.8,84.9,43.6,60.1
"99",63.9,68.4,81.2,53.4,10.3,41.5,75.4,45.8,67.4
"100",51.6,98.3,75.9,13.4,99.9,33.8,1.3,2.6,16.9
"101",60.7,46.5,72.1,24.4,32.2,90,98.4,75.2,80
"102",80.2,37.4,47.8,73.1,61.3,30.9,83.6,22.8,83.7
"103",92.9,11.6,99.5,76.3,20.6,16.4,56.8,3.5,91.3
"104",58.7,46.9,52.3,24.9,54.7,84,96.1,97.5,76.3
"105",62.7,45.6,30.5,58.2,47.7,98.3,95.5,82.4,99.4
"106",49.7,78.7,93,23.9,5.5,49,63.5,83,53.4
"107",74.1,21.2,25.8,60.1,100,91.4,98.2,22.5,87.4
"108",66.6,80.8,31.6,26.5,32.6,57.1,95,21.2,83.5
"109",44.6,79.4,41.8,88.9,40.2,95.5,56.2,37.7,95
"110",48,50.2,74.5,24.1,35.6,90,96.1,70.9,98.8
"111",56.8,59.1,36.5,46,42.8,97.9,92.1,73.2,76.1
"112",40.7,82.9,66.7,55.9,6.8,76.8,55.4,77.9,97.1
"113",72.4,29.6,84.2,17.2,98.5,14.2,27.6,13.8,74.8
"114",32.1,98.3,47.4,93.3,3.7,99.7,56.4,54.6,99.6
"115",65.1,49.8,32.3,65.7,63.4,71.5,96,5.4,82.7
"116",52.5,68,47.6,93.1,21.7,31.8,62.8,73.5,98.9
"117",55.8,64.2,11.2,41.8,81.7,86.1,95.9,25.4,91.8
"118",54.1,71.9,15.2,76.2,28.2,81.5,95.3,84.1,75.1
"119",45.6,71.9,76.8,38.7,36,70.4,76,46.7,23.9
"120",90.2,31.3,65.9,14.4,7.6,68.1,86,31.5,37.5
"121",32.5,83.4,16.3,28.9,99.8,100,71.6,82,54.9
"122",39.7,79.3,40.2,20.7,25.2,93.6,75.3,90.6,98
"123",69.3,48.3,71.2,36.9,5.2,63.8,75.1,56.6,29.4
"124",29.3,89.7,76.2,19.7,40.4,100,40.1,70.8,18
"125",27.8,96.5,17.8,41.1,57.4,100,74.4,85,70.4
"126",69.1,62.7,26.8,26.9,20.2,85.5,93.7,50.2,46
"127",30.5,99.2,24.4,26.1,54.6,100,89.1,36.9,73.6
"128",45.1,75.4,14.1,31,42,100,87.3,96.3,63.1
"129",26.6,80.9,51.5,28.7,51.1,100,52.2,67.4,82.9
"130",31.6,81.3,41,43.2,10.3,98.6,81.4,93.6,91.8
"131",70.8,14.5,42.5,56.8,22,99.3,93.5,88.1,74.1
"132",63.9,40.7,44.7,19,30.4,70.3,77.8,49.3,98.9
"133",63,42.5,33.9,47.9,72.9,24.7,82.2,10.1,96.8
"134",79.2,44.9,41,59.8,4.6,3,96.9,10.8,92
"135",62,68.4,59.6,30.1,4.5,23.1,88.4,13.3,61.3
"136",59.9,58,49.4,45.5,11.3,58.6,95.6,12.8,71.2
"137",61.4,16.2,74.7,18.2,55.2,24.9,59.6,88.9,85.5
"138",52.5,98.5,17.5,24.8,91.2,16.8,32.2,5.2,21.6
"139",52.9,42.9,29.9,22.3,51.4,93.5,92.1,85.6,67.7
"140",38.6,68.6,49.6,28.8,5.4,100,57.3,92.8,96.2
"141",59.6,96.9,25.4,23.7,31.3,55.1,26.4,7.3,39
"142",56.6,24.9,34.5,36,77,88.4,65.2,52.2,95.5
"143",55.8,54.1,24.7,45.1,32.5,90.3,94.8,13.1,98.4
"144",54.5,37.5,61.6,17.3,52.5,97.5,84.4,23.1,43.5
"145",48.8,50.7,32.8,16.8,38.7,99.7,72.8,99.4,69.9
"146",38.7,82.5,22.9,30,65.9,91,9.8,94.8,42.6
"147",64.2,37.9,71.6,26.8,81.8,17.8,9.8,34,27.6
"148",35.6,61.9,74.3,26.5,16.1,96.3,59.3,81.6,48.4
"149",55.5,73.1,81.9,47.4,18.9,4.7,8.5,1.4,54.9
"150",63.2,70.6,39,13.7,10.6,18,84.2,17.4,94.6
"151",59.4,30.8,55.8,35.2,53.8,49.7,85,16.5,78.4
"152",43.3,46,19,19,97.9,55,97.8,78.5,71.5
"153",43,43.3,51.1,19.7,27.4,91.6,89.8,76.2,94.8
"154",79.6,49.5,40,34.8,3.4,8,91,10.9,56.5
"155",46.5,39.6,48.3,18.9,33.7,84,81.6,70.6,97.9
"156",56.2,24.9,69.3,25.4,53,51.3,55,68.8,52.1
"157",38.6,50.7,10.4,33.7,99.8,84.3,60.5,68,91.4
"158",58.8,22.7,67.5,9.7,67.6,44.3,45.4,97.3,23.2
"159",53.4,25.1,25.2,52,78.9,79.6,99.8,21.2,91.3
"160",81.5,12.5,96.6,50.4,9.7,9,48.6,5,36.3
"161",59.7,11.7,70.1,11.2,87.5,52.7,56.7,61.1,24.4
"162",29.7,93.8,25.1,17.1,16.3,95.6,72.7,56,92.3
"163",54.8,96.9,19,10.4,9.5,70.4,43.5,21.6,55.8
"164",49,23.3,81.3,24.8,83.5,16.9,15.6,54.3,77.7
"165",57.4,23.9,70,15.4,85.7,14.7,32.8,25.6,77.7
"166",73.2,41.8,23,39.8,13.1,21.8,97.8,28.5,98.1
"167",43.5,40.3,35.3,19.8,45,88.3,79.2,78.2,97.8
"168",48,26.6,58.7,39,71.3,18.8,97.7,10.8,95.7
"169",49.2,68.4,26.1,41.6,35.1,31.6,85.5,14,81.7
"170",33.2,67.4,39.3,32.3,16.1,88.4,77.8,81,72.5
"171",68.2,7,69.3,57.9,25.8,9,83.4,25.6,96.3
"172",49.8,38.9,41.3,69,20.7,98.8,50.5,60.8,70.1
"173",27.1,38.8,43.9,95.8,64.8,100,59.8,96.8,35.5
"174",29.3,91.4,26.9,12.5,36.5,100,49.2,17.3,93.2
"175",44.4,45.7,51,88.9,12.6,59.9,95.4,21.2,75.1
"176",37.3,53.4,50.9,63.7,22.5,83,71.6,60.1,49.4
"177",61.5,33,65.1,16.6,87.5,15.4,17.6,19.1,24.1
"178",44.4,37.9,35,25.6,39.7,87.8,97.2,79,72
"179",46.7,61.5,36.7,26.6,6.8,64.5,87.9,30.1,97.3
"180",32.9,65.8,36.5,38.9,82.8,100,25.7,31.8,20.9
"181",49.1,60.2,30.8,51.7,4.4,89.4,83.2,39.3,54.6
"182",37.7,41.5,61.2,38.6,19.9,82.8,62.3,62,91.5
"183",32.4,86.2,31.8,25.7,14.3,100,84.9,26.4,50.6
"184",30.5,98.4,14.4,10,95.7,70.8,34.3,14.6,5.9
"185",32.9,85.7,44.4,13.2,13.1,79.3,45.1,89,19
"186",51.3,2.3,96.8,88.3,63.5,32.7,13.5,11.7,65.7
"187",36.2,39.4,16.9,46.3,56.3,90.6,86.4,80.8,97.6
"188",46.6,33.9,63.8,13.6,42.5,16,58.6,85.2,66.8
